Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2024-06-29,1,0,15000,0.0,8000.0,1,1.0
2024-06-30,0,0,0,0.0,0.0,0,0.0
2024-07-01,1,0,140585,0.0,20000.0,1,0.0
2024-07-02,0,0,0,0.0,0.0,0,0.0
2024-07-03,1,0,138000,0.0,33000.0,1,0.0
2024-07-04,0,0,0,0.0,0.0,0,0.0
2024-07-05,3,0,309500,0.0,25000.0,3,0.0
2024-07-06,1,0,84830,0.0,4000.0,1,1.0
2024-07-07,4,0,75880,0.0,0.0,4,1.0
2024-07-08,5,0,259920,0.0,20500.0,5,0.0
2024-07-09,2,0,237300,0.0,10500.0,2,0.0
2024-07-10,3,0,272281,0.0,8500.0,3,0.0
2024-07-11,2,0,67128,0.0,0.0,2,0.0
2024-07-12,3,0,498809,0.0,38000.0,3,0.0
2024-07-13,0,0,0,0.0,0.0,0,0.0
2024-07-14,0,0,0,0.0,0.0,0,0.0
2024-07-15,3,0,135960,0.0,0.0,3,0.0
2024-07-16,4,0,280435,0.0,33000.0,4,0.0
2024-07-17,3,0,281515,0.0,34000.0,3,0.0
2024-07-18,1,0,116440,0.0,32000.0,1,0.0
2024-07-19,1,0,184000,0.0,2000.0,1,0.0
2024-07-20,2,0,80800,0.0,0.0,2,1.0
2024-07-21,2,0,170237,0.0,0.0,2,1.0
2024-07-22,0,0,0,0.0,0.0,0,0.0
2024-07-23,1,0,81000,0.0,0.0,1,0.0
2024-07-24,2,0,1180912,0.0,29001.0,2,0.0
2024-07-25,2,0,312543,0.0,18500.0,2,0.0
2024-07-26,2,0,70920,0.0,10500.0,2,0.0
2024-07-27,1,0,81000,0.0,0.0,1,1.0
2024-07-28,3,0,245262,0.0,30000.0,3,1.0
2024-07-29,1,0,186000,0.0,0.0,1,0.0
2024-07-30,5,0,271186,0.0,21000.0,5,0.0
2024-07-31,2,0,256075,0.0,8500.0,2,0.0
2024-08-01,4,0,1379810,0.0,475000.0,4,0.0
2024-08-02,3,0,425222,0.0,16500.0,3,0.0
2024-08-03,0,0,0,0.0,0.0,0,0.0
2024-08-04,0,0,0,0.0,0.0,0,0.0
2024-08-05,2,0,144016,0.0,0.0,2,0.0
2024-08-06,2,0,128570,0.0,0.0,2,0.0
2024-08-07,0,0,0,0.0,0.0,0,0.0
2024-08-08,7,0,570269,0.0,41000.0,7,0.0
2024-08-09,3,0,480838,0.0,72000.0,3,0.0
2024-08-10,2,0,178000,0.0,38500.0,2,1.0
2024-08-11,2,1,30200,0.0,0.0,1,1.0
2024-08-12,4,0,274905,0.0,24000.0,4,0.0
2024-08-13,1,0,36000,0.0,0.0,1,0.0
2024-08-14,1,0,67995,0.0,2500.0,1,0.0
2024-08-15,5,0,401200,0.0,2500.0,5,0.0
2024-08-16,0,0,0,0.0,0.0,0,0.0
2024-08-17,3,0,88210,0.0,0.0,3,1.0
2024-08-18,2,0,104979,0.0,14500.0,2,1.0
2024-08-19,6,2,1443708,0.0,42000.0,4,0.0
2024-08-20,1,0,35170,0.0,0.0,1,0.0
2024-08-21,4,0,408860,0.0,0.0,4,0.0
2024-08-22,0,0,0,0.0,0.0,0,0.0
2024-08-23,0,0,0,0.0,0.0,0,0.0
2024-08-24,1,0,55475,0.0,0.0,1,1.0
2024-08-25,6,0,592025,0.0,38500.0,6,1.0
2024-08-26,4,0,384194,0.0,26500.0,4,0.0
2024-08-27,5,0,296040,0.0,0.0,5,0.0
2024-08-28,1,0,47818,0.0,7000.0,1,0.0
2024-08-29,2,0,544901,0.0,46400.0,2,0.0
2024-08-30,5,0,1268001,4000.0,0.0,5,0.0
2024-08-31,1,0,166240,0.0,70000.0,1,1.0
2024-09-01,1,0,125797,0.0,10000.0,1,1.0
2024-09-02,2,0,125710,0.0,25000.0,2,0.0
2024-09-03,1,0,22614,0.0,0.0,1,0.0
2024-09-04,6,0,464990,0.0,0.0,6,0.0
2024-09-05,3,0,49924,0.0,0.0,3,0.0
2024-09-06,3,0,289166,0.0,12000.0,3,0.0
2024-09-07,1,0,84640,0.0,0.0,1,1.0
2024-09-08,1,0,81625,0.0,0.0,1,1.0
2024-09-09,0,0,0,0.0,0.0,0,0.0
2024-09-10,0,0,0,0.0,0.0,0,0.0
2024-09-11,10,0,369066,0.0,84000.0,10,0.0
2024-09-12,2,0,386831,0.0,0.0,2,0.0
